Range,Set,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,XSmall,Small,Regular,Large,Huge,FB,Group,9005,4008,1018,9010,3020,5015,Random,Non-Random,,,Summary,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,
Dope,Dope Sloper Set,4,0,0,0,0,0,0,0,0,0,1,1,Dope 0,1,0,0,0,0,0,0,0,,,9005,,,,,,,
,Dope Sloper Set DT,4,0,0,0,0,0,0,0,0,0,1,1,Dope 1,0,0,1,0,0,0,2,0,,,4008,,,,,,,
,Dope Edge Set 1 - 4,0,0,4,0,0,0,0,0,0,1,0,1,Dope 0,1,0,0,0,0,0,0,0,,,1018,,,,,,,
,Dope Edge Set 5 - 8,0,0,4,0,0,0,0,0,0,1,0,1,Dope 2,0,0,0,0,0,1,5,0,,,9010,,,,,,,
,Dope Edge Set 9 - 12,0,0,4,0,0,0,0,0,0,1,0,1,Dope 1,0,0,1,0,0,0,2,0,,,3020,,,,,,,
,Rings Set (Clear),6,0,0,0,0,0,0,0,0,0,1,1,Dope 2,0,1,0,0,0,0,1,0,,,5015,,,,,,,
,Dope Jug 1,0,1,0,0,0,0,0,0,0,0,1,1,Dope 2,0,1,0,0,0,0,1,0,,,Total,0,0,0,0,0,0,0
,Dope Jug 3,0,1,0,0,0,0,0,0,0,0,1,1,Dope 2,0,1,0,0,0,0,1,0,,,,,,,,,,
,Dope Jug 6,0,1,0,0,0,0,0,0,0,0,1,1,Dope 2,0,0,0,0,0,1,5,0,,,,,,,,,,
Fiber Impressions,Fiber Impression 1,0,1,0,0,0,0,0,0,0,0,1,1,FBI 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Fiber Impression 2,0,1,0,0,0,0,0,0,0,0,1,1,FBI 2,0,0,0,0,1,0,4,0,,,,,,,,,,
,Fiber Impression 3,0,1,0,0,0,0,0,0,0,0,1,1,FBI 3,0,0,1,0,0,0,2,0,,,,,,,,,,
,Fiber Impression 7,0,1,0,0,0,0,0,0,0,0,1,1,FBI 1,0,0,0,1,0,0,3,0,,,,,,,,,,
,Fiber Impression 8,1,0,0,0,0,0,0,0,0,0,1,1,FBI 2,0,0,0,0,0,1,5,0,,,,,,,,,,
,Fiber Impression 9,1,0,0,0,0,0,0,0,0,0,1,1,FBI 3,0,1,0,0,0,0,1,0,,,,,,,,,,
,Fiber Impression 10,0,1,0,0,0,0,0,0,0,0,1,1,FBI 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,Fiber Impression 11,1,0,0,0,0,0,0,0,0,0,1,1,FBI 2,0,0,0,1,0,0,3,0,,,,,,,,,,
,Fiber Impression 12,1,0,0,0,0,0,0,0,0,0,1,1,FBI 1,0,0,0,0,0,1,5,0,,,,,,,,,,
,Fiber Impression 13,0,1,0,0,0,0,0,0,0,0,1,1,FBI 2,0,1,0,0,0,0,1,0,,,,,,,,,,
,Fiber Impression 14,1,0,0,0,0,0,0,0,0,0,1,1,FBI 3,0,0,0,0,1,0,4,0,,,,,,,,,,
,DT Fiber Impression 4,1,0,0,0,0,0,0,0,0,0,1,1,FBI 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,DT Fiber Impression 5,1,0,0,0,0,0,0,0,0,0,1,1,FBI 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,DT Fiber Impression 6,1,0,0,0,0,0,0,0,0,0,1,1,FBI 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,DT Fiber Impression 19,1,0,0,0,0,0,0,0,0,0,1,1,DT Fiber Impression 19,0,0,0,1,0,0,3,0,,,,,,,,,,
,DT Fiber Impression 20,1,0,0,0,0,0,0,0,0,0,1,1,DT Fiber Impression 20,0,0,1,0,0,0,2,0,,,,,,,,,,
,DT Fiber Impression 21,0,1,0,0,0,0,0,0,0,0,1,1,DT Fiber Impression 21,0,0,1,0,0,0,2,0,,,,,,,,,,
,DT Fiber Impression 22,1,0,0,0,0,0,0,0,0,0,1,1,DT Fiber Impression 22,0,0,0,0,0,1,5,0,,,,,,,,,,
Impossibles,giga hueco,0,1,0,0,0,0,0,0,0,1,0,0,Impossible 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,high mega hueco,0,1,0,0,0,0,0,0,0,1,0,0,Impossible 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,mega hueco,0,2,0,0,0,0,0,0,0,0,1,0,Impossible 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,curved XXl hueco,0,2,0,0,0,0,0,0,0,1,0,0,Impossible 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,giga pinch,0,0,0,3,0,0,0,0,0,1,0,0,Impossible 4,0,0,0,1,0,0,3,0,,,,,,,,,,
,XL double user,0,0,0,2,0,0,0,0,0,1,0,0,Impossible 4,0,1,0,0,0,0,1,0,,,,,,,,,,
,large double user,0,0,0,2,0,0,0,0,0,1,0,0,Impossible 4,0,0,0,0,1,0,4,0,,,,,,,,,,
,good giga sloper,3,0,0,0,0,0,0,0,0,1,0,0,Impossible 5,0,0,1,0,0,0,2,0,,,,,,,,,,
,bad giga sloper,2,0,0,0,0,0,0,0,0,1,0,0,Impossible 5,0,0,0,0,1,0,4,0,,,,,,,,,,
,large sloper,3,0,0,0,0,0,0,0,0,1,0,0,Impossible 5,0,0,0,0,0,1,5,0,,,,,,,,,,
,good giga ledges,0,0,6,0,0,0,0,0,0,1,0,0,Impossible 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,bad giga ledges,0,0,6,0,0,0,0,0,1,0,0,0,Impossible 1,0,0,0,0,0,1,5,0,,,,,,,,,,
,giga jugs,0,2,0,0,0,0,0,0,0,1,0,0,Impossible 2,0,0,0,0,1,0,4,0,,,,,,,,,,
,open giga jugs,0,4,0,0,0,0,0,0,1,0,0,0,Impossible 2,0,0,0,0,1,0,4,0,,,,,,,,,,
,XL ledges,0,0,2,0,0,0,0,0,1,0,0,0,XL ledges,0,0,0,1,0,0,3,0,,,,,,,,,,
,XL jugs,0,7,0,0,0,0,0,0,1,0,0,0,XL jugs,0,1,0,0,0,0,1,0,,,,,,,,,,
,large  jugs,0,8,0,0,0,0,0,0,1,0,0,0,large  jugs,0,0,1,0,0,0,2,0,,,,,,,,,,
,medium jugs,0,7,0,0,0,0,0,0,1,0,0,0,medium jugs,0,0,1,0,0,0,2,0,,,,,,,,,,
,large edges,0,0,0,5,0,0,0,0,0,1,0,0,large edges,0,0,1,0,0,0,2,0,,,,,,,,,,
,medium crimps,0,0,0,10,0,0,0,1,0,0,0,0,medium crimps,0,0,0,1,0,0,3,0,,,,,,,,,,
,slopy crimps,0,0,0,10,0,0,0,1,0,0,0,0,slopy crimps,1,0,0,0,0,0,0,0,,,,,,,,,,
,incut crimps,0,0,0,12,0,0,0,1,0,0,0,0,incut crimps,0,1,0,0,0,0,1,0,,,,,,,,,,
,footholds,0,0,0,0,20,0,1,0,0,0,0,0,footholds,0,0,0,0,0,1,5,0,,,,,,,,,,
,screw on blocky,0,0,0,0,30,0,1,0,0,0,0,0,screw on blocky,0,0,0,0,0,1,5,0,,,,,,,,,,
,screw on crimps S,0,0,0,20,0,0,1,0,0,0,0,0,screw on crimps S,0,0,0,0,0,1,5,0,,,,,,,,,,
,screw on crimps XS,0,0,0,25,0,0,1,0,0,0,0,0,screw on crimps XS,0,0,1,0,0,0,2,0,,,,,,,,,,
,full impossible DT fibers,6,2,0,0,0,0,0,0,0,0,1,1,full impossible DT fibers,0,1,0,0,0,0,1,0,,,,,,,,,,
,screw on specials,0,0,0,0,30,0,1,0,0,0,0,0,screw on specials,0,0,1,0,0,0,2,0,,,,,,,,,,
Competition line,Big Crimps,0,0,0,5,0,0,0,0,0,1,0,0,Big Crimps,0,0,0,0,0,1,5,0,,,,,,,,,,
,Crimps,0,0,0,10,0,0,0,0,1,0,0,0,Crimps,0,0,0,1,0,0,3,0,,,,,,,,,,
,Screw on impressions,0,0,0,0,10,0,0,1,0,0,0,0,Screw on impressions,0,0,1,0,0,0,2,0,,,,,,,,,,
,Scew on set 1,0,0,0,0,25,0,1,0,0,0,0,0,Scew on set 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,screw on set 2,0,0,0,0,35,0,1,0,0,0,0,0,screw on set 2,1,0,0,0,0,0,0,0,,,,,,,,,,
