Range,Set,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,XSmall,Small,Regular,Large,Huge,FB,Group,9005,4008,1018,9010,3020,5015,Random,Non-Random,,,Summary,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,
Link,Link S1,5,0,0,0,0,0,0,1,0,0,0,0,L 0,0,0,0,0,0,1,5,0,,,9005,,,,,,,
,Link S2,5,0,0,0,0,0,0,1,0,0,0,0,L 1,1,0,0,0,0,0,0,0,,,4008,,,,,,,
,Link M1,5,0,0,0,0,0,0,0,1,0,0,0,L 0,0,0,0,0,0,1,5,0,,,1018,,,,,,,
,Link M2,3,0,0,0,0,0,0,0,1,0,0,0,L 1,0,1,0,0,0,0,1,0,,,9010,,,,,,,
,Link M3,3,0,0,0,0,0,0,0,1,0,0,0,L 0,1,0,0,0,0,0,0,0,,,3020,,,,,,,
,Link L1,3,0,0,0,0,0,0,0,1,0,0,0,L 1,0,0,0,1,0,0,3,0,,,5015,,,,,,,
,Link L2,2,0,0,0,0,0,0,0,1,0,0,0,L 0,1,0,0,0,0,0,0,0,,,Total,0,0,0,0,0,0,0
,Link XL1,3,0,0,0,0,0,0,0,0,1,0,0,L 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,Link XXL1,3,0,0,0,0,0,0,0,0,1,0,0,L 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,Link XXL2,2,0,0,0,0,0,0,0,0,1,0,0,Link XXL2,0,0,0,0,1,0,4,0,,,,,,,,,,
Odyssey,Odyssey XS1,0,0,10,0,0,0,0,1,0,0,0,0,Odyssey 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Odyssey S1,0,0,0,0,10,0,0,1,0,0,0,0,Odyssey 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,Odyssey XXL1 ,3,0,0,0,0,0,0,0,1,0,0,0,Odyssey 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,Odyssey XXL2 ,2,0,0,0,0,0,0,0,1,0,0,0,Odyssey 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,Odyssey XXXL 1 ,1,0,0,0,0,0,0,0,0,1,0,0,Odyssey 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Odyssey MEG 1 DT,1,0,0,0,0,0,0,0,0,1,0,0,Odyssey 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Odyssey MEG 2 DT,1,0,0,0,0,0,0,0,0,1,0,0,Odyssey 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Odyssey MEG 3 DT,0,1,0,0,0,0,0,0,0,1,0,0,Odyssey 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Odyssey MEG 4 DT,0,1,0,0,0,0,0,0,0,1,0,0,Odyssey 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Odyssey MEG 5 DT,0,1,0,0,0,0,0,0,0,1,0,0,Odyssey 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Odyssey MEG 6 DT,1,0,0,0,0,0,0,0,0,1,0,0,Odyssey 0,0,1,0,0,0,0,1,0,,,,,,,,,,
Stadium, Stadium S0,0,0,10,0,0,0,1,0,0,0,0,0, Stadium S0,0,0,0,1,0,0,3,0,,,,,,,,,,
, Stadium S1,0,0,10,0,0,0,1,0,0,0,0,0, Stadium S1,1,0,0,0,0,0,0,0,,,,,,,,,,
, Stadium S2,0,0,10,0,0,0,0,1,0,0,0,0, Stadium S2,0,0,0,1,0,0,3,0,,,,,,,,,,
, Stadium M1,0,0,10,0,0,0,0,1,1,0,0,0, Stadium M1,0,0,0,0,0,1,5,0,,,,,,,,,,
, Stadium M2,0,0,5,0,0,0,0,1,0,0,0,0, Stadium M2,0,0,0,1,0,0,3,0,,,,,,,,,,
, Stadium L1,0,5,0,0,0,0,0,0,1,0,0,0, Stadium L1,0,0,0,0,1,0,4,0,,,,,,,,,,
, Stadium L4,0,0,10,0,0,0,0,0,1,0,0,0, Stadium L4,0,0,0,0,0,1,5,0,,,,,,,,,,
, Stadium XL1,0,5,0,0,0,0,0,0,1,0,0,0, Stadium XL1,0,0,0,0,1,0,4,0,,,,,,,,,,
, Stadium XL3,0,0,5,0,0,0,0,0,0,1,0,0, Stadium XL3,0,0,0,0,0,1,5,0,,,,,,,,,,
, Stadium XL4,0,0,5,0,0,0,0,0,0,1,0,0, Stadium XL4,0,0,0,1,0,0,3,0,,,,,,,,,,
, Stadium XXL2,0,0,2,0,0,0,0,0,0,1,0,0, Stadium XXL2,0,0,0,0,1,0,4,0,,,,,,,,,,
