Range,Set,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,XSmall,Small,Regular,Large,Huge,FB,Group,9005,4008,1018,9010,3020,5015,Random,Non-Random,,,Summary,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,
Lucha Libre,29.01,0,0,0,2,0,0,0,0,0,0,1,0,LL 0,0,0,0,0,1,0,4,0,,,9005,,,,,,,
,29.02,0,0,0,2,0,0,0,0,0,0,1,0,LL 0,0,0,0,0,0,1,5,0,,,4008,,,,,,,
,29.03,2,0,0,0,0,0,0,0,0,1,0,0,LL 0,0,0,0,0,1,0,4,0,,,1018,,,,,,,
,29.04,0,0,0,3,0,0,0,0,0,1,0,0,LL 0,0,0,1,0,0,0,2,0,,,9010,,,,,,,
,29.05,0,0,3,0,0,0,0,0,0,1,0,0,29.05,1,0,0,0,0,0,0,0,,,3020,,,,,,,
Creature of Comfort,28.01,1,0,0,0,0,0,0,0,0,0,1,0,28.01,0,0,0,1,0,0,3,0,,,5015,,,,,,,
,28.05,0,1,0,0,0,0,0,0,0,0,1,0,CC 0,0,0,0,0,0,1,5,0,,,Total,0,0,0,0,0,0,0
,28.06,0,3,0,0,0,0,0,0,0,1,0,0,CC 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,28.07,0,0,3,0,0,0,0,0,0,1,0,0,CC 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,28.08,0,3,0,0,0,0,0,0,0,1,0,0,CC 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,28.09,0,0,5,0,0,0,0,0,1,0,0,0,CC 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,28.1,0,0,5,0,0,0,0,1,0,0,0,0,CC 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,28.11,0,0,5,0,0,0,0,1,0,0,0,0,28.11,0,0,0,1,0,0,3,0,,,,,,,,,,
,28.12,0,0,5,0,0,0,1,0,0,0,0,0,28.12,1,0,0,0,0,0,0,0,,,,,,,,,,
,28.13,0,0,0,5,0,0,0,0,1,0,0,0,28.13,1,0,0,0,0,0,4,0,,,,,,,,,,
,28.19,0,0,5,0,0,0,1,0,0,0,0,0,28.19,1,0,0,0,0,0,2,0,,,,,,,,,,
,28.2,1,0,0,0,0,0,0,0,0,0,1,0,CC 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,28.21,1,0,0,0,0,0,0,0,0,0,1,0,CC 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,28.22,1,0,0,0,0,0,0,0,0,0,1,0,CC 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,28.23,1,0,0,0,0,0,0,0,0,0,1,0,CC 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,28.24,0,0,1,0,0,0,0,0,0,1,0,0,CC 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,28.25,1,0,0,0,0,0,0,0,0,1,0,0,CC 2,0,0,1,0,0,0,2,0,,,,,,,,,,
