,mega sloper,mega jug,mega flatty,Dogshit,large sloper,large jug,large flatty,sloper,jug,Small sloper,small jug,crimp,Only foothold,volume screw on hold/foothold,Mono,Pocket 2,Pocket 3,mega pinch,large pinch,pinch,scoop,9005,5015,1018,9010,4008,3020,Random,Non-Random
Dopes,12,5,12,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,3,0
Impossibles,,4,,2,,4,12,,5,5,25,39,20,105,,,,,,4,,0,0,0,1,0,0,3,0
Impression,6,6,1,2,,3,,,,,,,,,,,,,,,,0,0,0,0,0,1,5,0
Competition,,,,,,,5,,,,,10,,70,,,,,,,,0,1,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,Black,Blue,Yellow,White,Purple,Red,,
,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,
9005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
5015,0,0,0,0,0,0,5,0,0,0,0,10,0,70,0,0,0,0,0,0,0,85,,,,,,,
1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
9010,12,9,12,2,0,4,12,0,5,5,25,39,20,105,0,0,0,0,0,4,0,254,,,,,,,
4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
3020,6,6,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,,,,,,
Total,18,15,13,4,0,7,17,0,5,5,25,49,20,175,0,0,0,0,0,4,0,357,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colour matrix transpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Filled in hold data matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0,4,0,2,0,4,12,0,5,5,25,39,20,105,0,0,0,0,0,4,0,,,,,,,,,
6,6,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0,0,0,0,0,0,5,0,0,0,0,10,0,70,0,0,0,0,0,0,0,,,,,,,,,
